step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,4,0,0,0,4,0,0.0,0.0,13.748385597653595,0,0.0,0.9616402893888849,0,0.0
10.0,11,0,0,0,11,0,0.0,0.0,12.61264519682821,0,0.0,0.9155004215810653,0,0.0
15.0,14,0,0,0,14,0,0.0,0.0,11.508005181085478,0,0.0,0.9117081114795732,0,0.0
20.0,15,0,0,0,15,0,0.0,0.0,10.969615458410042,0,0.0,0.655864661958338,0,0.0
25.0,17,0,3,1,18,0,11.0,0.6470588235294118,10.684083976125919,3,11.0,0.556855738824058,3,11.0
30.0,18,0,3,3,21,0,26.0,1.4444444444444444,10.580016879242557,3,26.0,0.6021609626021143,3,26.0
35.0,15,0,4,9,24,0,43.0,2.8666666666666667,9.764540901942263,4,43.0,0.5517718659685333,4,43.0
40.0,18,0,4,11,29,0,63.0,3.5,10.090254376257397,4,63.0,0.6375982065125382,4,63.0
45.0,18,0,4,13,31,0,83.0,4.611111111111111,9.49668371263536,4,83.0,0.5648825381015165,4,83.0
50.0,20,0,4,16,36,0,103.0,5.15,9.094355225286353,4,103.0,0.5843957736189838,4,103.0
55.0,20,0,1,18,38,0,1.0,0.05,8.232270076224122,1,54.0,0.5534426512807292,1,54.0
60.0,23,0,4,20,43,0,15.0,0.6521739130434783,8.746931952478542,4,15.0,0.5037234032066956,4,15.0
65.0,22,0,2,23,45,0,5.0,0.22727272727272727,8.155580505335664,2,19.0,0.4714984709543059,2,19.0
70.0,21,0,0,27,48,0,0.0,0.0,9.461321117460123,0,3.0,0.6072752195195209,0,3.0
75.0,21,0,1,29,50,0,2.0,0.09523809523809523,10.820200756152644,1,2.0,0.7169746371361682,1,2.0
80.0,25,0,2,31,56,0,9.0,0.36,11.047647709737042,2,9.0,0.752187208905585,2,9.0
85.0,23,0,0,37,60,0,0.0,0.0,10.55817680558285,0,2.0,0.7433902964008011,0,2.0
90.0,19,0,4,43,62,0,12.0,0.631578947368421,9.056529975238442,4,12.0,0.5035842818755497,4,12.0
95.0,18,0,8,45,63,0,43.0,2.388888888888889,5.196830558099429,8,43.0,0.17763910968129187,8,43.0
100.0,18,0,5,49,67,0,25.0,1.3888888888888888,5.217594818292477,5,59.0,0.3443139504775879,5,59.0
105.0,21,0,0,50,71,0,0.0,0.0,8.98618457614933,0,31.0,0.574221873783088,0,31.0
110.0,25,0,0,50,75,0,0.0,0.0,10.734767916429536,0,5.0,0.6605214373233753,0,5.0
115.0,26,0,1,54,80,0,3.0,0.11538461538461539,11.373532820052544,1,3.0,0.7556669510693973,1,3.0
120.0,26,0,2,58,84,0,13.0,0.5,10.96855400647402,2,13.0,0.722430585857447,2,13.0
125.0,26,0,1,63,89,0,3.0,0.11538461538461539,9.533838574853768,1,6.0,0.6532541759145304,1,6.0
130.0,25,0,5,69,94,0,17.0,0.68,9.379043144609419,5,17.0,0.5597139916652867,5,17.0
135.0,27,0,2,72,99,0,3.0,0.1111111111111111,8.088872157423392,2,22.0,0.5055431703022747,2,22.0
140.0,25,0,1,77,102,0,2.0,0.08,8.997521252414359,1,5.0,0.5665063205664254,1,5.0
145.0,27,0,3,78,105,0,11.0,0.4074074074074074,9.81447116262017,3,11.0,0.516315401947884,3,11.0
