step,system_total_running,system_total_backlogged,system_total_stopped,system_total_arrived,system_total_departed,system_total_teleported,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,t_stopped,t_accumulated_waiting_time,t_average_speed,agents_total_stopped,agents_total_accumulated_waiting_time
0.0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.0,0,0.0
5.0,1,0,0,0,1,0,0.0,0.0,16.921274801191764,0,0.0,0.9617300516403174,0,0.0
10.0,5,0,0,0,5,0,0.0,0.0,11.486871530984846,0,0.0,0.8392199742952382,0,0.0
15.0,6,0,0,0,6,0,0.0,0.0,11.277018865051383,0,0.0,0.9285850454646634,0,0.0
20.0,7,0,1,0,7,0,1.0,0.14285714285714285,10.08655925552813,1,1.0,0.680111543511699,1,1.0
25.0,10,0,0,0,10,0,0.0,0.0,11.906188754916077,0,0.0,0.8984161709488585,0,0.0
30.0,12,0,0,1,13,0,0.0,0.0,12.267203258451156,0,0.0,0.85103566920355,0,0.0
35.0,12,0,0,3,15,0,0.0,0.0,10.951197870190223,0,0.0,0.7587471052990777,0,0.0
40.0,12,0,0,6,18,0,0.0,0.0,13.17821248250842,0,0.0,0.9346259571519079,0,0.0
45.0,17,0,0,6,23,0,0.0,0.0,11.7111225727973,0,0.0,0.7695274058722733,0,0.0
50.0,13,0,3,12,25,0,11.0,0.8461538461538461,9.15115748716624,3,11.0,0.5864509240201233,3,11.0
55.0,15,0,0,13,28,0,0.0,0.0,8.943752784816667,0,5.0,0.6309241432667695,0,5.0
60.0,16,0,1,14,30,0,1.0,0.0625,10.376115648104392,1,1.0,0.6602604991088944,1,1.0
65.0,20,0,2,15,35,0,7.0,0.35,9.589211549111555,2,7.0,0.6254553045173126,2,7.0
70.0,19,0,5,19,38,0,26.0,1.368421052631579,7.966778118879835,5,26.0,0.4885842648194148,5,26.0
75.0,22,0,2,21,43,0,5.0,0.22727272727272727,6.692853369967974,2,24.0,0.4148637108938168,2,24.0
80.0,21,0,1,24,45,0,4.0,0.19047619047619047,7.861537928046273,1,10.0,0.45587461862919326,1,10.0
85.0,25,0,2,24,49,0,5.0,0.2,7.68602512508146,2,7.0,0.401637725714756,2,7.0
90.0,24,0,8,28,52,0,33.0,1.375,5.9490571212454855,8,35.0,0.3049936842287495,8,35.0
95.0,23,0,7,32,55,0,33.0,1.434782608695652,3.5875242750151575,7,63.0,0.23041981891760707,7,63.0
100.0,24,0,4,33,57,0,12.0,0.5,6.0743422977400146,4,58.0,0.31014066094941817,4,58.0
105.0,28,0,1,33,61,0,2.0,0.07142857142857142,6.375848586070594,1,49.0,0.30979744784957963,1,49.0
110.0,29,0,7,36,65,0,27.0,0.9310344827586207,5.188037439530979,7,74.0,0.2679711746422796,7,74.0
115.0,30,0,7,40,70,0,26.0,0.8666666666666667,3.9882033129477628,7,88.0,0.26144070991849594,7,88.0
120.0,34,0,3,41,75,0,9.0,0.2647058823529412,6.126076160779617,3,69.0,0.3546356493727559,3,69.0
125.0,40,0,7,41,81,0,14.0,0.35,5.423081654532453,7,93.0,0.29844306941208854,7,93.0
130.0,41,0,9,44,85,0,45.0,1.0975609756097562,5.3238909593124495,9,132.0,0.2791734942805792,9,132.0
135.0,40,0,9,48,88,0,44.0,1.1,4.809497813311372,9,149.0,0.24583161880469334,9,149.0
140.0,38,0,8,51,89,0,23.0,0.6052631578947368,4.96587537891314,8,128.0,0.22315577818818674,8,128.0
145.0,40,0,8,53,93,0,28.0,0.7,5.42084654093496,8,104.0,0.1779782726645919,8,104.0
150.0,39,0,6,57,96,0,49.0,1.2564102564102564,6.234936938061661,6,105.0,0.2878413353036298,6,105.0
155.0,36,0,1,62,98,0,2.0,0.05555555555555555,6.042758951092717,1,92.0,0.3333757013546587,1,92.0
160.0,38,0,7,65,103,0,24.0,0.631578947368421,6.886007648544513,7,75.0,0.365772157916854,7,75.0
165.0,37,0,9,70,107,0,28.0,0.7567567567567568,5.56769612334189,9,90.0,0.30883485351708817,9,90.0
170.0,38,0,3,73,111,0,9.0,0.23684210526315788,6.266767304699176,3,73.0,0.3168221182494631,3,73.0
175.0,38,0,6,77,115,0,17.0,0.4473684210526316,7.0855049204476215,6,59.0,0.34383298306566545,6,59.0
180.0,37,0,6,81,118,0,38.0,1.027027027027027,7.478647994651371,6,69.0,0.38535654903062194,6,69.0
185.0,36,0,5,86,122,0,12.0,0.3333333333333333,6.808039716568077,5,72.0,0.39730543636702254,5,72.0
190.0,34,0,7,90,124,0,29.0,0.8529411764705882,5.968733084547812,7,64.0,0.2787531227282723,7,64.0
195.0,34,0,8,93,127,0,26.0,0.7647058823529411,4.980034740989679,8,82.0,0.20013326955226882,8,82.0
200.0,31,0,6,98,129,0,22.0,0.7096774193548387,6.427111588389396,6,71.0,0.28626064034182946,6,71.0
205.0,33,0,3,101,134,0,33.0,1.0,8.403512024446004,3,60.0,0.4604504214734903,3,60.0
210.0,32,0,5,105,137,0,58.0,1.8125,9.073336288916714,5,71.0,0.5633875102340413,5,71.0
